62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,63,44.5,18.5,70.63%,,9.5,1.5,13.5,20,5.5,4,1.5,7.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,71,57,14,80.28%,,17.5,5.5,13,21,5,4,2.5,2.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,156,130.5,25.5,83.65%,,54.5,12,23,41,11,4,6,4.5
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,87,58.5,28.5,67.24%,,14,7,17,20.5,6.5,6,3.5,12.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,98,79,19,80.61%,,27,6,14.5,31.5,4.5,5,2.5,7
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ALL CARE,ALL CANCERS,91,76,15,83.52%,,13,10.5,21.5,31,3,5,3,4
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ALL CARE,ALL CANCERS,214.5,165.5,49,77.16%,,49,31.5,44.5,40.5,14,18,11,6
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,75,67.5,7.5,90.00%,,29.5,4,10,24,1.5,3.5,1,1.5
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ALL CARE,ALL CANCERS,170,125,45,73.53%,,35,15.5,25,49.5,13,15.5,5,11.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ALL CARE,ALL CANCERS,56.5,40,16.5,70.80%,,15,3,12,10,5.5,5,3,3
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,42.5,36,6.5,84.71%,,9.5,8.5,4.5,13.5,1,3,1.5,1
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,82.5,70.5,12,85.45%,,25,12,14,19.5,7.5,0,1.5,3
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,64,57,7,89.06%,,25,8,11.5,12.5,3,0.5,2,1.5
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,138.5,122,16.5,88.09%,,27.5,24,30,40.5,4,4.5,0,8
,RA3,WESTON AREA HEALTH NHS TRUST,ALL CARE,ALL CANCERS,38,28,10,73.68%,,5.5,4,8.5,10,2.5,3.5,2.5,1.5
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,88.5,76.5,12,86.44%,,33,6,12.5,25,3,2.5,3,3.5
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ALL CARE,ALL CANCERS,145.5,110,35.5,75.60%,,40.5,9,21.5,39,16.5,11,2.5,5.5
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ALL CARE,ALL CANCERS,56.5,51,5.5,90.27%,,17,7,15,12,1,2.5,2,0
,RLQ,WYE VALLEY NHS TRUST,ALL CARE,ALL CANCERS,44,33,11,75.00%,,13,3,6.5,10.5,5.5,2.5,1.5,1.5
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,51.5,45.5,6,88.35%,,13,13,5.5,14,1.5,1,1,2.5
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ALL CARE,ALL CANCERS,119.5,102,17.5,85.36%,,37,11,27.5,26.5,5.5,6.5,1.5,4
,NV3,INDEPENDENT ORGANISATION,ALL CARE,ALL CANCERS,51,44.5,6.5,87.25%,,11,9.5,13.5,10.5,2,2,1.5,1
,NVM,INDEPENDENT ORGANISATION,ALL CARE,ALL CANCERS,6.5,6.5,0,100.00%,,2.5,0,1.5,2.5,0,0,0,0
,NWV,INDEPENDENT ORGANISATION,ALL CARE,ALL CANCERS,1,0.5,0.5,50.00%,,0,0,0.5,0,0,0,0,0.5
,5NM,DISCONTINUED ORGANISATION,ALL CARE,ALL CANCERS,1,1,0,100.00%,,0.5,0,0,0.5,0,0,0,0
,5PL,DISCONTINUED ORGANISATION,ALL CARE,ALL CANCERS,1,0.5,0.5,50.00%,,0.5,0,0,0,0,0,0.5,0
,RGC,DISCONTINUED ORGANISATION,ALL CARE,ALL CANCERS,3,2,1,66.67%,,0,0.5,0,1.5,0.5,0,0,0.5
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ALL CARE,ALL CANCERS,11967,9757,2210,81.53%,,3054,1307,2024,3372,703,583,339,585
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOURCE: CANCER WAITING TIMES DATABASE - CWT-db,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,
(1) - ODS CODE is the unique code to identify the Provider (ODS = Organisational Data Service),,,,,,,,,,,,,,,,,
(2) - CARE SETTING - relates either to patients who were ADMITTED to hospital for treatment - this includes ordinary admissions and day cases; patients who were NON-ADMITTED,,,,,,,,,,,,,,,,,
"- which refers to outpatient activity, and treatment in other care settings; and ALL CARE which is the sum of ADMITTED and NON-ADMITTED patients",,,,,,,,,,,,,,,,,
(3) ALL CANCERS refers to any case of diagnosed cancer regardless of cancer type,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Quality,,,,,,,,,,,,,,,,,
NHS England is aware that Queen Victoria Hospital NHS Foundation Trust failed to submit for September 2015. Queen Victoria Hospital NHS Foundation Trust have confirmed that if the correct data were uploaded and subjected to the same level of validation as normal and included within these statistics they would be shown as not having met the required level of service provision at 85% for September 2015.,,,,,,,,,,,,,,,,,
